symbol;code;width;height;area;mass;mass_norm;q1_mass;q1_mass_norm;q2_mass;q2_mass_norm;q3_mass;q3_mass_norm;q4_mass;q4_mass_norm;cx;cy;cx_norm;cy_norm;ix;iy;ix_norm;iy_norm
Ⱀ;U2C10;43.0;50.0;2150.0;740.0;0.34418604651162793;183.0;0.3485714285714286;247.0;0.4490909090909091;269.0;0.5123809523809524;41.0;0.07454545454545454;20.38918918918919;20.986486486486488;0.4854568854568854;0.4282956425813569;137085.86486486485;93233.91351351351;0.07410046749452154;0.06814049487196404
Ⱁ;U2C11;25.0;52.0;1300.0;762.0;0.5861538461538461;164.0;0.5256410256410257;218.0;0.6449704142011834;164.0;0.5256410256410257;216.0;0.6390532544378699;13.137795275590552;25.3005249343832;0.5474081364829396;0.4960887242035922;164448.17979002622;40850.53149606299;0.07981185634872912;0.0857753942174551
Ⱂ;U2C12;42.0;50.0;2100.0;757.0;0.36047619047619045;259.0;0.49333333333333335;312.0;0.5942857142857143;162.0;0.30857142857142855;24.0;0.045714285714285714;19.389696169088506;17.079260237780712;0.4729194187582562;0.34855633138327985;124679.24438573317;106940.0396301189;0.06588071037555253;0.08008402276419248
Ⱃ;U2C13;26.0;50.0;1300.0;573.0;0.44076923076923075;178.0;0.5476923076923077;22.0;0.06769230769230769;196.0;0.6030769230769231;177.0;0.5446153846153846;9.12914485165794;29.42757417102967;0.3651657940663176;0.600562738184279;100694.24432809773;36364.44328097731;0.07029266619762495;0.09388054999890877
Ⱄ;U2C14;41.0;51.0;2091.0;963.0;0.460545193687231;185.0;0.37;197.0;0.37523809523809526;282.0;0.5423076923076923;299.0;0.5476190476190477;20.259605399792317;27.39460020768432;0.5064901349948079;0.5478920041536864;241078.05192107995;133359.09865005192;0.09624784936582022;0.08238130189408589
Ⱅ;U2C15;60.0;51.0;3060.0;1408.0;0.46013071895424834;390.0;0.52;370.0;0.49333333333333335;328.0;0.4205128205128205;320.0;0.41025641025641024;29.22159090909091;22.703835227272727;0.4952812018489985;0.4540767045454545;365741.4992897727;488282.86363636365;0.099869122477416;0.09633105737775483
Ⱆ;U2C16;51.0;52.0;2652.0;1439.0;0.5426093514328808;391.0;0.6015384615384616;333.0;0.492603550295858;389.0;0.5984615384615385;326.0;0.4822485207100592;23.657400972897847;25.320361362056985;0.4731480194579569;0.49647767376582325;306857.31341209175;249290.09867963864;0.07886221977069766;0.06660454769217662
Ⱇ;U2C17;48.0;70.0;3360.0;1056.0;0.3142857142857143;312.0;0.37142857142857144;317.0;0.3773809523809524;211.0;0.2511904761904762;216.0;0.2571428571428571;23.692234848484848;29.473484848484848;0.5040901031592521;0.42715195432586733;297897.25757575757;164466.97632575757;0.057571362394820184;0.06759776160274521
Ⱈ;U2C18;38.0;51.0;1938.0;638.0;0.32920536635706915;150.0;0.3157894736842105;0.0;0.0;233.0;0.4716599190283401;255.0;0.5161943319838057;17.688087774294672;31.264890282131663;0.47805642633228845;0.6252978056426333;104546.23354231977;56834.92946708464;0.0630009880105914;0.06169180162545333
Ⱉ;U2C19;48.0;52.0;2496.0;1069.0;0.4282852564102564;269.0;0.4310897435897436;269.0;0.4310897435897436;268.0;0.42948717948717946;263.0;0.421474358974359;23.50046772684752;25.28157156220767;0.5000099516350537;0.4957170894550524;264588.24695977545;205261.24976613658;0.0915347830189469;0.08333871290915404
